id,name,empl_id,project,process,sub_process,date,status,start_time,end_time,total_time,comments
63,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 12:46:00 PM,3/14/2018 12:46:09 PM,0.15,
64,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 12:46:12 PM,3/14/2018 12:46:13 PM,0.02,
65,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,3/14/2018 12:59:33 PM,3/14/2018 1:30:14 PM,30.67,
66,T4tv8n9icJz201/URnYfyw==,SnfemQpuaa7NRov7sMlN1A==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,14-03-2018 12:57:44,14-03-2018 13:31:51,34.12,
67,ckmT4R9WVWB26monU3MHNw==,WzzOoD5iW8LNLWYNV7IiUA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,14-Mar-18 12:58:48 PM,14-Mar-18 1:32:00 PM,33.18,
68,T4tv8n9icJz201/URnYfyw==,SnfemQpuaa7NRov7sMlN1A==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,14-03-2018 13:57:48,14-03-2018 13:58:05,0.28,
69,u+hHHgsk7vXxk+pEpY5n/Q==,iDLGelE+x5b0qB63iEpffA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,14-Mar-18,System Locked,14-03-2018 12:25:54,14-03-2018 13:59:12,93.3,
70,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 2:20:11 PM,3/14/2018 2:20:31 PM,0.33,
71,T4tv8n9icJz201/URnYfyw==,SnfemQpuaa7NRov7sMlN1A==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,System Locked,14-03-2018 14:53:43,14-03-2018 14:53:53,0.17,
72,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:12:46 PM,3/14/2018 3:12:47 PM,0,
73,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:13:17 PM,3/14/2018 3:13:41 PM,0.38,
74,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:20:02 PM,3/14/2018 3:20:03 PM,0.02,
75,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:20:04 PM,3/14/2018 3:20:13 PM,0.13,
76,vq20lzyItQbwsYRbon9inw==,eztE1a3SRDTFBFR9G9Y3yw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,14-Mar-18,Break,3/14/2018 3:20:14 PM,3/14/2018 3:20:31 PM,0.28,
